country_code,country_display,gho_code,gho_display,region_code,region_display,sex_code,sex_display,world_bank_income_group_display,world_bank_income_group_group_code
AFG,Afghanistan,WHOSIS_000001,Life expectancy at birth (years),EMR,Eastern Mediterranean,BTSX,Both sexes,NA,NA
AFG,Afghanistan,WHOSIS_000001,Life expectancy at birth (years),EMR,Eastern Mediterranean,FMLE,Female,NA,NA
AFG,Afghanistan,WHOSIS_000001,Life expectancy at birth (years),EMR,Eastern Mediterranean,MLE,Male,NA,NA
AFG,Afghanistan,WHOSIS_000001,Life expectancy at birth (years),EMR,Eastern Mediterranean,BTSX,Both sexes,Low_income,WB_LI
AFG,Afghanistan,WHOSIS_000001,Life expectancy at birth (years),EMR,Eastern Mediterranean,FMLE,Female,Low_income,WB_LI
AFG,Afghanistan,WHOSIS_000001,Life expectancy at birth (years),EMR,Eastern Mediterranean,MLE,Male,Low_income,WB_LI
AFG,Afghanistan,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),EMR,Eastern Mediterranean,BTSX,Both sexes,Low_income,WB_LI
AFG,Afghanistan,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),EMR,Eastern Mediterranean,FMLE,Female,Low_income,WB_LI
AFG,Afghanistan,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),EMR,Eastern Mediterranean,MLE,Male,Low_income,WB_LI
AFG,Afghanistan,WHOSIS_000015,Life expectancy at age 60 (years),EMR,Eastern Mediterranean,BTSX,Both sexes,NA,NA
AFG,Afghanistan,WHOSIS_000015,Life expectancy at age 60 (years),EMR,Eastern Mediterranean,FMLE,Female,NA,NA
AFG,Afghanistan,WHOSIS_000015,Life expectancy at age 60 (years),EMR,Eastern Mediterranean,MLE,Male,NA,NA
AFG,Afghanistan,WHOSIS_000015,Life expectancy at age 60 (years),EMR,Eastern Mediterranean,BTSX,Both sexes,Low_income,WB_LI
AFG,Afghanistan,WHOSIS_000015,Life expectancy at age 60 (years),EMR,Eastern Mediterranean,FMLE,Female,Low_income,WB_LI
AFG,Afghanistan,WHOSIS_000015,Life expectancy at age 60 (years),EMR,Eastern Mediterranean,MLE,Male,Low_income,WB_LI
ALB,Albania,WHOSIS_000001,Life expectancy at birth (years),EUR,Europe,BTSX,Both sexes,NA,NA
ALB,Albania,WHOSIS_000001,Life expectancy at birth (years),EUR,Europe,FMLE,Female,NA,NA
ALB,Albania,WHOSIS_000001,Life expectancy at birth (years),EUR,Europe,MLE,Male,NA,NA
ALB,Albania,WHOSIS_000001,Life expectancy at birth (years),EUR,Europe,BTSX,Both sexes,Lower_middle_income,WB_LMI
ALB,Albania,WHOSIS_000001,Life expectancy at birth (years),EUR,Europe,FMLE,Female,Lower_middle_income,WB_LMI
ALB,Albania,WHOSIS_000001,Life expectancy at birth (years),EUR,Europe,MLE,Male,Lower_middle_income,WB_LMI
ALB,Albania,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),EUR,Europe,BTSX,Both sexes,Lower_middle_income,WB_LMI
ALB,Albania,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),EUR,Europe,FMLE,Female,Lower_middle_income,WB_LMI
ALB,Albania,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),EUR,Europe,MLE,Male,Lower_middle_income,WB_LMI
ALB,Albania,WHOSIS_000015,Life expectancy at age 60 (years),EUR,Europe,BTSX,Both sexes,NA,NA
ALB,Albania,WHOSIS_000015,Life expectancy at age 60 (years),EUR,Europe,FMLE,Female,NA,NA
ALB,Albania,WHOSIS_000015,Life expectancy at age 60 (years),EUR,Europe,MLE,Male,NA,NA
ALB,Albania,WHOSIS_000015,Life expectancy at age 60 (years),EUR,Europe,BTSX,Both sexes,Lower_middle_income,WB_LMI
ALB,Albania,WHOSIS_000015,Life expectancy at age 60 (years),EUR,Europe,FMLE,Female,Lower_middle_income,WB_LMI
ALB,Albania,WHOSIS_000015,Life expectancy at age 60 (years),EUR,Europe,MLE,Male,Lower_middle_income,WB_LMI
DZA,Algeria,WHOSIS_000001,Life expectancy at birth (years),AFR,Africa,BTSX,Both sexes,NA,NA
DZA,Algeria,WHOSIS_000001,Life expectancy at birth (years),AFR,Africa,FMLE,Female,NA,NA
DZA,Algeria,WHOSIS_000001,Life expectancy at birth (years),AFR,Africa,MLE,Male,NA,NA
DZA,Algeria,WHOSIS_000001,Life expectancy at birth (years),AFR,Africa,BTSX,Both sexes,Upper_middle_income,WB_UMI
DZA,Algeria,WHOSIS_000001,Life expectancy at birth (years),AFR,Africa,FMLE,Female,Upper_middle_income,WB_UMI
DZA,Algeria,WHOSIS_000001,Life expectancy at birth (years),AFR,Africa,MLE,Male,Upper_middle_income,WB_UMI
DZA,Algeria,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),AFR,Africa,BTSX,Both sexes,Upper_middle_income,WB_UMI
DZA,Algeria,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),AFR,Africa,FMLE,Female,Upper_middle_income,WB_UMI
DZA,Algeria,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),AFR,Africa,MLE,Male,Upper_middle_income,WB_UMI
DZA,Algeria,WHOSIS_000015,Life expectancy at age 60 (years),AFR,Africa,BTSX,Both sexes,NA,NA
DZA,Algeria,WHOSIS_000015,Life expectancy at age 60 (years),AFR,Africa,FMLE,Female,NA,NA
DZA,Algeria,WHOSIS_000015,Life expectancy at age 60 (years),AFR,Africa,MLE,Male,NA,NA
DZA,Algeria,WHOSIS_000015,Life expectancy at age 60 (years),AFR,Africa,BTSX,Both sexes,Upper_middle_income,WB_UMI
DZA,Algeria,WHOSIS_000015,Life expectancy at age 60 (years),AFR,Africa,FMLE,Female,Upper_middle_income,WB_UMI
DZA,Algeria,WHOSIS_000015,Life expectancy at age 60 (years),AFR,Africa,MLE,Male,Upper_middle_income,WB_UMI
AND,Andorra,WHOSIS_000001,Life expectancy at birth (years),EUR,Europe,BTSX,Both sexes,NA,NA
AND,Andorra,WHOSIS_000001,Life expectancy at birth (years),EUR,Europe,FMLE,Female,NA,NA
AND,Andorra,WHOSIS_000001,Life expectancy at birth (years),EUR,Europe,MLE,Male,NA,NA
AND,Andorra,WHOSIS_000001,Life expectancy at birth (years),EUR,Europe,BTSX,Both sexes,High_income,WB_HI
